stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1198d,Mesnevi,,37.9007417,32.5263084,,
1199a,Aşkar Höyüğü Parkı,,37.8983667,32.5269916,,
1199d,Aşkar Höyüğü Parkı,,37.89835,32.5272333,,
119a,Merhale,,37.812773,32.436549,,
11a,Millet Bahçesi,,37.867033,32.4827,,
11d,Millet Bahçesi,,37.867175,32.48251,,
1200a,Karkent Bafra,,37.897075,32.52625,,
1201d,Üçdere,,37.89537,32.523409,,
1202d,Kazdağı,,37.893751,32.521258,,
1203a,İsmail Hakkı,,37.891003,32.517278,,
1204a,Aydınlar,,37.88475196,32.50808667,,
1205a,Akçil,,37.888717,32.514032,,
1206a,Kavakaltı Cami,,37.886522,32.511076,,
1207a,Bahtıgüzel,,37.88178759602254,32.503700349479914,,
1207d,Bahtıgüzel,,37.881734685432,32.50357696786523,,
1208a,Vahdet,,37.88366208350107,32.50299761071801,,
1208d,Vahdet,,37.88362745499796,32.502917647361755,,
1209d,Ereğli Yolu,,37.837948,32.783907,,
120a,Ermişli,,37.859488,32.466478,,
120d,Ermişli,,37.859365,32.46628,,
1210a,Hacı Hasanbaşı 2,,37.8800814999589,32.50336239114404,,
1210d,Hacı Hasanbaşı 2,,37.88011349091098,32.50328192487359,,
1211a,Araplar Cami,,37.8836667,32.5056917,,
1211d,Araplar Cami,,37.8837417,32.505675,,
1212a,Kürden,,37.8860834,32.5072,,
1213a,Araplar Ak Cami,,37.8897917,32.5073083,,
1214a,Hacıbacak Cami,,37.8913584,32.5073167,,
1215a,Cengiz Topel İlkokulu,,37.8936167,32.50745,,
1216a,Seyit Kutup,,37.907946,32.526151,,
1216d,Seyit Kutup,,37.907999,32.525968,,
1217a,Babı Ali,,37.906375,32.5293083,,
1217d,Babı Ali,,37.9066,32.52964,,
1218a,Mevlana Ptt,,37.903675,32.5324417,,
1218d,Mevlana Ptt,,37.90379,32.53273,,
1219a,Bestami,,37.902375,32.5362583,,
121a,İstikrar,,37.815146,32.438635,,
1220a,Ragıp,,37.90465,32.5385833,,
1221a,Ravza,,37.906679,32.539523,,
1222a,Ehlibeyt,,37.90745,32.5345333,,
1223a,Neü Mühendislik Fak.,,37.86347,32.412108,,
1223d,Neü Mühendislik Fak.,,37.863417,32.412045,,
1224a,Neü Mühendislik Fak. 2,,37.86635,32.411292,,
1224d,Neü Mühendislik Fak. 2,,37.86642,32.411233,,
1225a,Hurdacılar Sanayi,,37.9129417,32.532775,,
1225d,Hurdacılar Sanayi,,37.9130917,32.5326584,,
1226d,İkbal Cami,,37.9109083,32.5301417,,
1227a,10579. Sk,,37.9162434,32.535675,,
1227d,10579. Sk,,37.9162634,32.535575,,
1228a,Büsan Girişi,,37.9170917,32.5373417,,
1229a,10643. Sk,,37.915034,32.541228,,
122a,Şahap,,37.817151,32.441833,,
1230a,10647. Sk,,37.9124917,32.5457583,,
1231a,10652. Sk,,37.911425,32.5502083,,
1231d,10652. Sk,,37.911425,32.5498083,,
1232a,10648. Sk,,37.9136834,32.547925,,
1232d,10648. Sk,,37.9136834,32.547725,,
1233a,Büsan Cami,,37.915375,32.5447833,,
1234a,Kosgeb,,37.917075,32.5417333,,
1235a,10642. Sk,,37.919075,32.5380417,,
1236a,Medcezir,,37.921275,32.533975,,
1237a,Şatır Yolu 1,,37.79395,32.7746416,,
1238a,Yazıcıoğlu,,37.8761083,32.531675,,
1238d,Yazıcıoğlu,,37.8762583,32.5316457,,
